0|iata_code|1|city_rus
BCJ|BCJ||
BCK|BCK||
BCL|BCL|Барра-Колорадо|Барра-Колорадо
BCM|BCM|Бакэу|Бакэу
BCN|BCN|Барселона|Барселона
BCO|BCO||
BCP|BCP||
BCQ|BCQ|Вейл-Игл, шт. Колорадо|Вейл-Игл, шт. Колорадо
BCR|BCR||
BCS|BCS||
BCT|BCT|Бока Ратон|Бока Ратон
BCU|BCU|Баучи|Баучи
BCV|BCV||
BCW|BCW||
BCX|BCX|Белорецк|Белорецк
BCY|BCY|Бульчи|Бульчи
BCZ|BCZ||
BDA|BDA||
BDB|BDB|Бандаберг|Бандаберг
BDC|BDC||
BDD|BDD||
BDE|BDE||
BDF|BDF||
BDG|BDG||
BDH|BDH|Бандар-Ленге|Бандар-Ленге
BDI|BDI|Берд-Айленд|Берд-Айленд
BDJ|BDJ|Банджармасин|Банджармасин
BDK|BDK||
BDL|BDL||
BDM|BDM|Бандирма|Бандирма
BDN|BDN|Бадин|Бадин
BDO|BDO|Бандунг|Бандунг
BDP|BDP|Бхадрапур|Бхадрапур
BDQ|BDQ||
BDR|BDR||
BDS|BDS|Бриндиси|Бриндиси
BDT|BDT|Гбадолите|Гбадолите
BDU|BDU|Бордуфос|Бордуфос
BDV|BDV|Моба|Моба
BDW|BDW||
BDX|BDX||
BDY|BDY||
BDZ|BDZ|Байндунг|Байндунг
BEA|BEA|Берейна|Берейна
BEB|BEB||
BEC|BEC|Вичита|Вичита
BED|BED||
BEE|BEE||
BEF|BEF|Блуфилдс|Блуфилдс
BEG|BEG|Белград|Белград
BEH|BEH|Бентон Харбор|Бентон Харбор
BEI|BEI|Бейка|Бейка
BEJ|BEJ||
BEK|BEK||
BEL|BEL|Белем|Белем
BEM|BEM|Боссембеле|Боссембеле
BEN|BEN||
BEO|BEO|Ньюкасл|Ньюкасл
BEP|BEP|Беллари|Беллари
BEQ|BEQ||
BER|BER|Берлин|Берлин
BES|BES|Брест|Брест
BET|BET||
BEU|BEU||
BEV|BEV||
BEW|BEW|Бейра|Бейра
BEX|BEX||
